,0
# of Features,7
Feature names,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']"
Removed Feature Names,"['Hbond_A', 'cLogP', 'Hbond_D', 'PDI', 'Size', 'Zeta']"
MAE,0.06282000000000001
MAE_std,0.03671779889028415
Spearman,0.7109482922544431
Spearman_std,0.03671779889028415
Pearson,0.9051206099172019
Pearson_std,0.016214071236710686
linkage distance,30.692307692307693
