,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance,Cell_Type,Model
0,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.044660000000000005,0.04393046440350687,0.6567969260568591,0.04393046440350687,0.9070305727535941,0.02184705078656101,2.6666666666666665,PC3,RF
1,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.04688,0.048264349026265564,0.6378065415804074,0.048264349026265564,0.9136327487891883,0.019987856137450043,2.6666666666666665,PC3,XGB
2,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.045899999999999996,0.0466906602402071,0.6469335811246734,0.0466906602402071,0.9125029648723004,0.019817561108847127,2.6666666666666665,PC3,LGBM
3,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.047560000000000005,0.020737963169713894,0.8601819695802737,0.020737963169713894,0.911878985622218,0.014879993382789145,2.6666666666666665,B16,RF
4,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.04612,0.021935271190668994,0.8544527109706442,0.021935271190668994,0.9225202966492593,0.01322331611673368,2.6666666666666665,B16,XGB
5,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.0438,0.0219232133858483,0.8608614146809025,0.0219232133858483,0.9256668504348727,0.013594133401635289,2.6666666666666665,B16,LGBM
6,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.11349999999999999,0.03392515556788205,0.7890146817320833,0.03392515556788205,0.7857216963483039,0.03657371144964588,0.0,ARPE19,RF
7,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.11155999999999999,0.03493944338034501,0.7864913035912405,0.03493944338034501,0.7936053393648964,0.037847913144247056,0.35714285714285715,ARPE19,XGB
8,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.11436,0.02814912287142718,0.7945057797253838,0.02814912287142718,0.7901354888379916,0.034999536566380794,0.35714285714285715,ARPE19,LGBM
9,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.07124000000000001,0.02893890208028234,0.8717782002382256,0.02893890208028234,0.8844758280954871,0.030419944189859098,0.35714285714285715,N2a,RF
10,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.07060000000000001,0.030510949934530636,0.8679364053594153,0.030510949934530636,0.8834114132515792,0.0323774830158274,1.3571428571428572,N2a,XGB
11,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta', 'PDI']",0.07252,0.028985399429828123,0.865297396521362,0.028985399429828123,0.8819703500708121,0.03374285950916663,1.3571428571428572,N2a,LGBM
12,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.09382,0.026442562956747503,0.8494458237360349,0.026442562956747503,0.83988997594222,0.029183756306624366,2.6666666666666665,HEK293,RF
13,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.08616,0.025093679266861083,0.8549838837810316,0.025093679266861083,0.8457922288299703,0.026760869188633626,2.6666666666666665,HEK293,XGB
14,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.08753999999999999,0.02720618680454226,0.8490166011761605,0.02720618680454226,0.8393841879258274,0.029049532658774878,2.6666666666666665,HEK293,LGBM
15,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.0395,0.03427835095374258,0.6584125083267623,0.03427835095374258,0.8807995696403452,0.02774148855532728,2.6666666666666665,HepG2,RF
16,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.04074,0.044556083912865176,0.6334435439101896,0.044556083912865176,0.9026743915041553,0.021543595455025596,2.6666666666666665,HepG2,XGB
17,7,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.0377,0.038244843092034284,0.6299469547751771,0.038244843092034284,0.8854195001270956,0.02788612585379893,2.6666666666666665,HepG2,LGBM
