,0
# of Features,6
Feature names,"['P_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']"
Removed Feature Names,"['Hbond_A', 'Double_bonds', 'Hbond_D', 'PDI', 'Size', 'Zeta', 'N_charged_centers']"
MAE,0.09029999999999999
MAE_std,0.024548830801638877
Spearman,0.871574760461641
Spearman_std,0.024548830801638877
Pearson,0.8786473267696294
Pearson_std,0.021934826113390184
linkage distance,30.692307692307693
