,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.009173795564142705
1,NP_ratio,8.0,-0.007130399402777247
2,NP_ratio,12.0,0.014165130014459777
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.053012520078068656
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.06165143857087062
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.05002453760431787
6,Dlin-MC3_Helper lipid_ratio,10.0,0.0053592447107149235
7,Dlin-MC3_Helper lipid_ratio,1.0,0.1605224831893477
8,Dlin-MC3+Helper lipid percentage,20.0,-0.022606078061252085
9,Dlin-MC3+Helper lipid percentage,40.0,-0.008818615798052752
10,Dlin-MC3+Helper lipid percentage,60.0,0.00015943389961687668
11,Dlin-MC3+Helper lipid percentage,80.0,0.0208900316095387
12,Chol_DMG-PEG_ratio,500.0,-0.00708155925399759
13,Chol_DMG-PEG_ratio,100.0,0.042695914021137676
14,Chol_DMG-PEG_ratio,10.0,-0.030565685822516352
