,0
# of Features,7
Feature names,"['P_charged_centers', 'cLogP', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']"
Removed Feature Names,"['Hbond_A', 'Total_Carbon_Tails', 'Hbond_D', 'PDI', 'Size', 'Zeta', 'N_charged_centers']"
MAE,0.03528
MAE_std,0.04098050231733928
Spearman,0.6229870432673684
Spearman_std,0.04098050231733928
Pearson,0.8934782618022438
Pearson_std,0.022154585625411095
linkage distance,28.5
