,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.007904595585508278
1,NP_ratio,8.0,-0.007461533222792611
2,NP_ratio,12.0,0.014507336117778248
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.0509664370326548
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.05593433166533374
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.0498474288719503
6,Dlin-MC3_Helper lipid_ratio,10.0,0.0011475541096058104
7,Dlin-MC3_Helper lipid_ratio,1.0,0.16274601670950536
8,Dlin-MC3+Helper lipid percentage,20.0,-0.019094701358700453
9,Dlin-MC3+Helper lipid percentage,40.0,-0.011758888331260643
10,Dlin-MC3+Helper lipid percentage,60.0,0.0013981677131368621
11,Dlin-MC3+Helper lipid percentage,80.0,0.021171045239387665
12,Chol_DMG-PEG_ratio,500.0,-0.004010675373674927
13,Chol_DMG-PEG_ratio,100.0,0.027295548989635553
14,Chol_DMG-PEG_ratio,10.0,-0.018741288340986956
