,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,0.004395935912958907
1,NP_ratio,8.0,-0.005998230806772808
2,NP_ratio,12.0,-0.002405962161957572
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.103300025365891
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.09897101315307393
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.07565027240470018
6,Dlin-MC3_Helper lipid_ratio,10.0,0.022806951415266265
7,Dlin-MC3_Helper lipid_ratio,1.0,0.2194757843604005
8,Dlin-MC3+Helper lipid percentage,20.0,0.010203879170066288
9,Dlin-MC3+Helper lipid percentage,40.0,0.012227703139233917
10,Dlin-MC3+Helper lipid percentage,60.0,0.014197187409440894
11,Dlin-MC3+Helper lipid percentage,80.0,-0.03521625802745733
12,Chol_DMG-PEG_ratio,500.0,0.05529444195048113
13,Chol_DMG-PEG_ratio,100.0,0.027518466738114894
14,Chol_DMG-PEG_ratio,10.0,-0.10981680283140313
