,0
# of Features,7
Feature names,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']"
Removed Feature Names,"['Hbond_A', 'cLogP', 'Total_Carbon_Tails', 'Hbond_D', 'PDI', 'Size', 'Zeta']"
MAE,0.041819999999999996
MAE_std,0.039980865264846774
Spearman,0.6209324514945515
Spearman_std,0.039980865264846774
Pearson,0.9094523223316784
Pearson_std,0.020267917307719503
linkage distance,28.5
