Feature,B16_Norm_Feature_Value,HepG2_Norm_Feature_Value,PC3_Norm_Feature_Value,HEK293_Norm_Feature_Value,N2a_Norm_Feature_Value,ARPE19_Norm_Feature_Value
P_charged_centers,1.0,1.0,1.0,1.0,1.0,1.0
N_charged_centers,0.0,0.0,0.0,1.0,0.0,0.0
cLogP,0.9674735249621785,1.0,1.0,1.0,0.5729476153244722,0.5729476153244722
Hbond_D,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Hbond_A,0.8,0.9,0.9,0.9,0.0,0.0
Total_Carbon_Tails,0.0,0.0,1.0,1.0,,
Double_bonds,1.0,1.0,1.0,1.0,1.0,0.0
Size,0.125,0.375,0.0,0.0,0.75,0.875
PDI,0.08525754887575755,0.11261101176291687,0.28561278873378787,0.0966252213487123,0.46642983959731077,0.25790408534916665
Zeta,0.6019818331459965,0.5029727497933135,0.47502064409372247,0.5322460776150085,0.06069364161348523,0.07308009908562507
NP_ratio,1.0,1.0,1.0,1.0,0.0,0.5
PEG_(Chol+PEG),0.08890684992020219,0.08890684992020219,0.08890684992020219,0.08890684992020219,0.0,0.08890684992020219
(IL+HL),0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
HL_(IL+HL),0.17359524897081374,1.0,1.0,0.17359524897081374,1.0,1.0
