Feature,HepG2_Norm_Feature_Value,B16_Norm_Feature_Value,PC3_Norm_Feature_Value,HEK293_Norm_Feature_Value,N2a_Norm_Feature_Value,ARPE19_Norm_Feature_Value
P_charged_centers,1.0,1.0,1.0,1.0,1.0,1.0
cLogP,1.0,0.9674735249621785,1.0,1.0,,1.0
Hbond_D,1.0,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.6666666666666666
Hbond_A,0.9,,,0.9,,
Double_bonds,1.0,1.0,0.0,1.0,,
NP_ratio,1.0,1.0,1.0,1.0,0.0,0.5
PEG_(Chol+PEG),0.08890684992020219,0.08890684992020219,0.08890684992020219,0.08890684992020219,0.0,0.08890684992020219
(IL+HL),1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
HL_(IL+HL),1.0,0.17359524897081374,1.0,0.17359524897081374,1.0,1.0
Total_Carbon_Tails,,0.0,,,,
Zeta,,,0.46444260941251503,,,
N_charged_centers,,,,,0.0,
