Feature,B16_Norm_Feature_Value,HepG2_Norm_Feature_Value,PC3_Norm_Feature_Value,HEK293_Norm_Feature_Value,N2a_Norm_Feature_Value,ARPE19_Norm_Feature_Value
P_charged_centers,1.0,1.0,1.0,1.0,1.0,1.0
N_charged_centers,0.0,0.0,0.0,0.0,0.0,0.0
cLogP,0.9674735249621785,1.0,1.0,1.0,0.5729476153244722,0.5729476153244722
Hbond_D,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Hbond_A,0.9,0.9,0.9,0.9,0.0,0.0
Total_Carbon_Tails,0.0,1.0,1.0,1.0,,
Double_bonds,1.0,1.0,1.0,1.0,1.0,0.0
Size,0.7777777777777778,0.9444444444444444,0.3888888888888889,0.0,0.6666666666666666,0.8333333333333334
PDI,0.10870337481659087,0.1534635879763636,0.052930727549886585,0.3344582590886175,0.021314387218939388,0.6106571938226135
Zeta,0.6362510321935383,0.45992155243518396,0.5065235342727892,0.45990132122544164,0.06069364161348523,0.10033030552433272
NP_ratio,1.0,1.0,1.0,1.0,0.0,0.5
PEG_(Chol+PEG),0.08890684992020219,0.08890684992020219,0.08890684992020219,0.08890684992020219,0.0,0.08890684992020219
(IL+HL),0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
HL_(IL+HL),0.17359524897081374,1.0,1.0,0.17359524897081374,1.0,1.0
