,0,Model,Cell_Type,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,7,,,,,,,,,,,
1,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
2,0.03996,,,,,,,,,,,
3,0.034986808865169916,,,,,,,,,,,
4,0.6363368842119893,,,,,,,,,,,
5,0.034986808865169916,,,,,,,,,,,
6,0.9072666922477416,,,,,,,,,,,
7,0.02255653740670725,,,,,,,,,,,
8,2.25,,,,,,,,,,,
9,7,,,,,,,,,,,
10,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
11,0.042280000000000005,,,,,,,,,,,
12,0.04206391710798342,,,,,,,,,,,
13,0.6151236649842093,,,,,,,,,,,
14,0.04206391710798342,,,,,,,,,,,
15,0.9137979178190544,,,,,,,,,,,
16,0.01938009187546125,,,,,,,,,,,
17,2.25,,,,,,,,,,,
18,7,,,,,,,,,,,
19,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
20,0.04092,,,,,,,,,,,
21,0.0439333910969704,,,,,,,,,,,
22,0.6236412735317972,,,,,,,,,,,
23,0.0439333910969704,,,,,,,,,,,
24,0.9130002310527776,,,,,,,,,,,
25,0.01933641273728617,,,,,,,,,,,
26,2.25,,,,,,,,,,,
27,7,,,,,,,,,,,
28,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
29,0.044,,,,,,,,,,,
30,0.021502445338091286,,,,,,,,,,,
31,0.8482275603451739,,,,,,,,,,,
32,0.021502445338091286,,,,,,,,,,,
33,0.9126097084737842,,,,,,,,,,,
34,0.018601690585279,,,,,,,,,,,
35,2.25,,,,,,,,,,,
36,8,,,,,,,,,,,
37,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
38,0.04189999999999999,,,,,,,,,,,
39,0.02034640473930236,,,,,,,,,,,
40,0.8442483620961276,,,,,,,,,,,
41,0.02034640473930236,,,,,,,,,,,
42,0.926314359929294,,,,,,,,,,,
43,0.014286691746641164,,,,,,,,,,,
44,1.5833333333333333,,,,,,,,,,,
45,8,,,,,,,,,,,
46,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
47,0.039760000000000004,,,,,,,,,,,
48,0.02023709521175963,,,,,,,,,,,
49,0.8504115244828658,,,,,,,,,,,
50,0.02023709521175963,,,,,,,,,,,
51,0.9282288178959673,,,,,,,,,,,
52,0.013172067273052602,,,,,,,,,,,
53,1.5833333333333333,,,,,,,,,,,
54,7,,,,,,,,,,,
55,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
56,0.09032,,,,,,,,,,,
57,0.028282329364614094,,,,,,,,,,,
58,0.8304470993303285,,,,,,,,,,,
59,0.028282329364614094,,,,,,,,,,,
60,0.842704059738832,,,,,,,,,,,
61,0.033404112817579525,,,,,,,,,,,
62,1.1818181818181819,,,,,,,,,,,
63,8,,,,,,,,,,,
64,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
65,0.09113999999999998,,,,,,,,,,,
66,0.0328600432098436,,,,,,,,,,,
67,0.8235551734580647,,,,,,,,,,,
68,0.0328600432098436,,,,,,,,,,,
69,0.8539492368419331,,,,,,,,,,,
70,0.0278095906093078,,,,,,,,,,,
71,0.2727272727272727,,,,,,,,,,,
72,8,,,,,,,,,,,
73,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
74,0.10265999999999999,,,,,,,,,,,
75,0.02970828634026584,,,,,,,,,,,
76,0.8200371617632974,,,,,,,,,,,
77,0.02970828634026584,,,,,,,,,,,
78,0.8258875010866273,,,,,,,,,,,
79,0.030132396732366784,,,,,,,,,,,
80,0.2727272727272727,,,,,,,,,,,
81,7,,,,,,,,,,,
82,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
83,0.061399999999999996,,,,,,,,,,,
84,0.0259156972892578,,,,,,,,,,,
85,0.8872284321619955,,,,,,,,,,,
86,0.0259156972892578,,,,,,,,,,,
87,0.9063428868154889,,,,,,,,,,,
88,0.025233025400045433,,,,,,,,,,,
89,1.1818181818181819,,,,,,,,,,,
90,7,,,,,,,,,,,
91,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
92,0.05794,,,,,,,,,,,
93,0.021820530796093137,,,,,,,,,,,
94,0.8970194669920669,,,,,,,,,,,
95,0.021820530796093137,,,,,,,,,,,
96,0.9177989681239435,,,,,,,,,,,
97,0.022755415882124357,,,,,,,,,,,
98,1.1818181818181819,,,,,,,,,,,
99,7,,,,,,,,,,,
100,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
101,0.06064,,,,,,,,,,,
102,0.019428420443784126,,,,,,,,,,,
103,0.8922091399382411,,,,,,,,,,,
104,0.019428420443784126,,,,,,,,,,,
105,0.9149269712061746,,,,,,,,,,,
106,0.016690202152964087,,,,,,,,,,,
107,1.1818181818181819,,,,,,,,,,,
108,10,,,,,,,,,,,
109,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'cTPSA', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
110,0.08945999999999998,,,,,,,,,,,
111,0.02344754463036115,,,,,,,,,,,
112,0.8582629412982549,,,,,,,,,,,
113,0.02344754463036115,,,,,,,,,,,
114,0.8479228538367883,,,,,,,,,,,
115,0.026407700286283017,,,,,,,,,,,
116,0.5833333333333334,,,,,,,,,,,
117,8,,,,,,,,,,,
118,"['P_charged_centers', 'N_charged_centers', 'cTPSA', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",,,,,,,,,,,
