,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.05190832191138711
1,NP_ratio,8.0,0.009500450056044569
2,NP_ratio,12.0,0.04503504284721172
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.029774475564444344
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.023224544048023724
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.010677518722585082
6,Dlin-MC3_Helper lipid_ratio,10.0,0.04894012955537334
7,Dlin-MC3_Helper lipid_ratio,1.0,0.0175311080444573
8,Dlin-MC3+Helper lipid percentage,20.0,-0.07650507201405522
9,Dlin-MC3+Helper lipid percentage,40.0,-0.024598530340150537
10,Dlin-MC3+Helper lipid percentage,60.0,0.06518669822140989
11,Dlin-MC3+Helper lipid percentage,80.0,0.0020926610012615937
12,Chol_DMG-PEG_ratio,500.0,-0.020346132068446727
13,Chol_DMG-PEG_ratio,100.0,0.06770991854608861
14,Chol_DMG-PEG_ratio,10.0,-0.029330990099462773
