,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.0010361765769024683
1,NP_ratio,8.0,-0.0026598494583576528
2,NP_ratio,12.0,0.004525902187188854
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.08161129849374073
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.07911946406625044
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.06138788630814424
6,Dlin-MC3_Helper lipid_ratio,10.0,0.033180598538507675
7,Dlin-MC3_Helper lipid_ratio,1.0,0.2446772606819389
8,Dlin-MC3+Helper lipid percentage,20.0,0.013726188872895343
9,Dlin-MC3+Helper lipid percentage,40.0,0.007727503573082112
10,Dlin-MC3+Helper lipid percentage,60.0,0.015748971585132603
11,Dlin-MC3+Helper lipid percentage,80.0,-0.035981070904350834
12,Chol_DMG-PEG_ratio,500.0,0.06494056294362027
13,Chol_DMG-PEG_ratio,100.0,0.03191540270172603
14,Chol_DMG-PEG_ratio,10.0,-0.10047030567801377
