,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.0046554503046237995
1,NP_ratio,8.0,0.004428475836621724
2,NP_ratio,12.0,0.0021513321057677545
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.026072372306879917
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.050975435688144395
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.03758364921157062
6,Dlin-MC3_Helper lipid_ratio,10.0,0.00462418974203451
7,Dlin-MC3_Helper lipid_ratio,1.0,0.12284620425740592
8,Dlin-MC3+Helper lipid percentage,20.0,0.08044747088121479
9,Dlin-MC3+Helper lipid percentage,40.0,0.05339816605081441
10,Dlin-MC3+Helper lipid percentage,60.0,-0.014754672152423327
11,Dlin-MC3+Helper lipid percentage,80.0,-0.08194637189920724
12,Chol_DMG-PEG_ratio,500.0,0.04380605145416588
13,Chol_DMG-PEG_ratio,100.0,0.1288041291360751
14,Chol_DMG-PEG_ratio,10.0,-0.165324480065535
