,0
# of Features,7
Feature names,"['P_charged_centers', 'cLogP', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']"
Removed Feature Names,"['Hbond_A', 'Total_Carbon_Tails', 'PDI', 'Size', 'Double_bonds', 'Zeta', 'N_charged_centers']"
MAE,0.04597999999999999
MAE_std,0.03821649798995561
Spearman,0.7037991932058573
Spearman_std,0.03821649798995561
Pearson,0.8935589185749195
Pearson_std,0.019376927047294365
linkage distance,28.5
