Feature,B16_Norm_Feature_Value,HepG2_Norm_Feature_Value,PC3_Norm_Feature_Value,HEK293_Norm_Feature_Value,N2a_Norm_Feature_Value,ARPE19_Norm_Feature_Value
P_charged_centers,1.0,1.0,1.0,1.0,1.0,1.0
cLogP,0.9674735249621785,1.0,1.0,1.0,0.5729476153244722,0.5729476153244722
Hbond_D,0.0,0.0,,0.6666666666666666,,
Hbond_A,0.8,0.9,,0.9,0.8333333333333334,0.8333333333333334
Total_Carbon_Tails,0.0,1.0,,,,
Double_bonds,1.0,,0.0,1.0,,
NP_ratio,1.0,1.0,1.0,1.0,0.0,0.5
Chol_DMG-PEG_ratio,0.1836734693877551,0.1836734693877551,0.1836734693877551,0.1836734693877551,1.0,0.1836734693877551
Dlin-MC3+Helper lipid percentage,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
Dlin-MC3_Helper lipid_ratio,0.04522613065326633,0.0,0.0,0.04522613065326633,0.0,0.0
