Feature,Norm_Feature_Value_x,Norm_Feature_Value_y,Norm_Feature_Value_x,Norm_Feature_Value_y,Norm_Feature_Value_x,Norm_Feature_Value_y,Norm_Feature_Value_x,Norm_Feature_Value_y,Norm_Feature_Value_x,Norm_Feature_Value_y,Norm_Feature_Value_x,Norm_Feature_Value_y,Norm_Feature_Value_x,Norm_Feature_Value_y,Norm_Feature_Value_x,Norm_Feature_Value_y,Norm_Feature_Value_x,Norm_Feature_Value_y
P_charged_centers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N_charged_centers,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Double_bonds,1.0,0.5,1.0,0.0,,,1.0,1.0,1.0,0.0,,,1.0,1.0,1.0,0.0,,
NP_ratio,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Dlin-MC3_Helper lipid_ratio,0.0,0.04522613065326633,0.04522613065326633,0.0,0.0,0.0,0.0,0.04522613065326633,0.04522613065326633,0.0,0.0,0.0,0.0,0.04522613065326633,0.04522613065326633,0.0,0.0,0.0
Dlin-MC3+Helper lipid percentage,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.0
Chol_DMG-PEG_ratio,0.1836734693877551,0.1836734693877551,0.1836734693877551,0.1836734693877551,1.0,0.1836734693877551,0.1836734693877551,0.1836734693877551,0.1836734693877551,0.1836734693877551,1.0,0.1836734693877551,0.1836734693877551,0.1836734693877551,0.1836734693877551,0.1836734693877551,1.0,0.1836734693877551
Zeta,0.625,0.5,,,0.875,0.12499999999999994,0.625,0.5,,,0.12499999999999994,0.875,0.7499999999999999,0.5,,,0.875,0.875
cLogP,,1.0,,,0.5729476153244722,0.5729476153244722,,,,,0.5729476153244722,0.5729476153244722,,,,,0.5729476153244722,0.5729476153244722
Hbond_D,,1.0,,,0.6666666666666666,0.6666666666666666,,,,,0.6666666666666666,0.6666666666666666,,,,,,
Total_Carbon_Tails,,1.0,,,,,,,,,,,,,,,,
Size,,0.0,,,0.12499999999999997,0.12499999999999997,,,,,1.0,0.37499999999999994,,,,,0.12499999999999997,0.37499999999999994
