,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.007083756965754663
1,NP_ratio,8.0,-0.01067493967674822
2,NP_ratio,12.0,0.01949338312808814
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.06731422030731932
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.07080692767540397
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.061561443519071155
6,Dlin-MC3_Helper lipid_ratio,10.0,0.01426688411469729
7,Dlin-MC3_Helper lipid_ratio,1.0,0.12606646560302662
8,Dlin-MC3+Helper lipid percentage,20.0,-0.042524874617039715
9,Dlin-MC3+Helper lipid percentage,40.0,-0.015091283223172637
10,Dlin-MC3+Helper lipid percentage,60.0,0.013365694752263697
11,Dlin-MC3+Helper lipid percentage,80.0,0.016170557544558473
12,Chol_DMG-PEG_ratio,500.0,-0.017582287903712766
13,Chol_DMG-PEG_ratio,100.0,0.02592643972760151
14,Chol_DMG-PEG_ratio,10.0,-0.0070283425387888745
