,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,0.003317298240475908
1,NP_ratio,8.0,-0.005591043170871858
2,NP_ratio,12.0,0.003538112827421719
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.08195350914108211
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.08075675160078737
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.058917926874431044
6,Dlin-MC3_Helper lipid_ratio,10.0,0.03752620841243714
7,Dlin-MC3_Helper lipid_ratio,1.0,0.2351423803588038
8,Dlin-MC3+Helper lipid percentage,20.0,0.008412735569385849
9,Dlin-MC3+Helper lipid percentage,40.0,0.008082499823714494
10,Dlin-MC3+Helper lipid percentage,60.0,0.0138509517653706
11,Dlin-MC3+Helper lipid percentage,80.0,-0.033532746385826546
12,Chol_DMG-PEG_ratio,500.0,0.06298900489557842
13,Chol_DMG-PEG_ratio,100.0,0.030253177946343683
14,Chol_DMG-PEG_ratio,10.0,-0.09577322854464748
