,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.008129671842127553
1,NP_ratio,8.0,-0.011929769200840606
2,NP_ratio,12.0,0.020088182245597136
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.05484844062677954
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.05822157753084505
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.05260260864930803
6,Dlin-MC3_Helper lipid_ratio,10.0,0.02649124001753415
7,Dlin-MC3_Helper lipid_ratio,1.0,0.12525274860050623
8,Dlin-MC3+Helper lipid percentage,20.0,-0.035110301040776996
9,Dlin-MC3+Helper lipid percentage,40.0,-0.009546185221071953
10,Dlin-MC3+Helper lipid percentage,60.0,0.01272716933155513
11,Dlin-MC3+Helper lipid percentage,80.0,0.017328810274527928
12,Chol_DMG-PEG_ratio,500.0,-0.005910119864017947
13,Chol_DMG-PEG_ratio,100.0,0.01714706132554224
14,Chol_DMG-PEG_ratio,10.0,-0.006283373457682272
